word,freq
dank,13
nennen,13
schaden,13
aufs,13
schätzen,13
ehre,13
gefällt,13
gegen,13
umher,13
leuchtet,13
sitzt,13
leise,13
freuden,13
glaub,13
einst,13
mauern,13
hundert,13
kleinen,13
gretchen,13
gefallen,13
hilft,13
regen,13
gewinn,13
willen,13
jenem,13
hof,13
all,13
meister,13
sei's,13
nimmt,13
ruh,13
schätze,13
gute,13
treten,12
beste,12
holde,12
zwischen,12
gaben,12
sitz,12
tiefer,12
gehört,12
lieber,12
leider,12
klingt,12
frage,12
brennt,12
selig,12
jene,12
streben,12
schwestern,12
holden,12
unserm,12
felsen,12
wahrheit,12
gefahr,12
konnt,12
tier,12
herab,12
magst,12
jahren,12
mächtig,12
eilig,12
eins,12
nebel,12
feld,12
taten,12
schlüssel,12
schwelle,12
braucht,12
herbei,12
klar,12
wohnen,12
sehen,12
schlag,12
waren,12
sohn,12
eines,12
s,12
kühn,12
dabei,12
gewinnen,12
ziehen,12
nehmen,12
armen,12
stein,12
lohn,12
also,12
bösen,12
glücklich,12
leibe,12
frommen,12
bruder,12
spiel,12
guter,12
seit,12
manche,12
neu,12
ernst,12
zusammen,12
er's,12
manchen,12
lüfte,11
schweben,11
ziel,11
vielen,11
bißchen,11
letzte,11
begegnen,11
weite,11
chor,11
fällt,11
lebt,11
bricht,11
woge,11
wünscht,11
kreise,11
stolz,11
ei,11
tiefe,11
treu,11
vertrauen,11
flamme,11
kehrt,11
sehe,11
durchs,11
drängen,11
feuchten,11
bunten,11
spur,11
fenster,11
paar,11
ton,11
treue,11
dir's,11
pein,11
zeigt,11
namen,11
werdet,11
gefühl,11
niemals,11
ilios,11
daran,11
kommst,11
drang,11
sollst,11
ängstlich,11
knaben,11
eurem,11
wellen,11
neues,11
einzig,11
göttin,11
wonne,11
breit,11
goldne,11
spricht,11
wir's,11
beiden,11
ruhm,11
freut,11
fluch,11
schönste,11
lied,11
näher,11
halten,11
hoff,11
tiefsten,11
rechts,11
kam,11
band,11
kerl,10
genau,10
tönen,10
ordnung,10
höre,10
geschlecht,10
gift,10
gestalten,10
bleibe,10
konnte,10
scharf,10
heimlich,10
mütter,10
ehren,10
wüßt,10
stürzt,10
geschieht,10
jenen,10
spaß,10
schwanken,10
heißen,10
wären,10
führe,10
majestät,10
jüngling,10
besitz,10
schönes,10
sollen,10
jede,10
ohren,10
fraun,10
großes,10
gutes,10
plan,10
bildet,10
fiel,10
fast,10
frieden,10
vertraut,10
euren,10
sorge,10
hause,10
äther,10
sogar,10
krieg,10
schale,10
schleicht,10
sucht,10
sprach,10
scheiden,10
weißt,10
wen,10
heraus,10
denkt,10
mach,10
klang,10
fassen,10
gebt,10
könnte,10
sollte,10
reichen,10
verzeiht,10
rings,10
kurz,10
fülle,10
findet,10
mittel,10
weder,10
wem,10
dahin,10
andrer,10
doktor,10
leiden,10
ufer,10
heiße,10
gedacht,10
